CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions $, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),"GDP per Capita (in $, PPP)",Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,100,13,58.30,47.00,36.30,41.40,81.80,82.30,66.10,41.90,61.60,75.60,61.00,65,40,9.50,28,28,16.80,24.30,20.90,47.30,0.80,5.10,2262,5.00,1.90,149,44.30
25,Burma,Burma,Asia-Pacific,149,32,49.60,23.10,16.70,29.80,87.20,86.80,67.20,41.70,49.60,73.90,69.40,30,20,5.30,25,25,5.90,21.00,54.40,278.80,3.20,5.70,5242,1.80,5.70,1834,39.30
26,Burundi,Burundi,Sub-Saharan Africa,172,45,39.40,18.80,7.10,12.20,77.10,76.40,10.30,27.50,41.50,70.30,51.00,50,30,14.50,35,30,12.90,28.10,11.90,9.00,-1.30,0.40,760,0.80,7.30,6,69.50
27,Cambodia,Cambodia,Asia-Pacific,106,21,57.10,41.20,20.90,12.30,88.70,81.50,98.00,55.20,47.80,74.70,64.80,50,50,10.10,20,20,18.20,24.80,16.70,73.60,-3.50,5.00,4695,0.30,2.90,3625,31.60
28,Cameroon,Cameroon,Sub-Saharan Africa,136,27,52.90,39.10,10.90,19.90,74.70,90.10,78.70,60.40,46.40,79.90,55.20,30,50,14.90,35,33,14.60,18.20,26.50,96.80,-2.80,2.70,3646,3.60,2.80,488,43.20
29,Canada,Canada,Americas,15,1,76.60,89.50,96.40,86.70,75.70,39.60,62.80,78.80,68.70,78.20,83.20,80,80,3.40,33,15,33.50,44.90,38.00,1850.10,-5.40,0.60,48720,9.50,0.70,23823,117.80
30,Cabo Verde,CaboVerde,Sub-Saharan Africa,49,2,66.70,66.10,77.40,60.90,77.50,68.10,48.30,59.80,52.40,84.40,66.00,80,60,12.00,35,24,21.20,32.60,0.60,3.60,-14.00,0.90,6424,13.40,0.60,73,139.00
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,168,43,45.70,7.10,12.30,18.30,65.30,88.10,95.20,26.50,39.50,75.30,46.20,45,30,16.90,50,30,8.60,19.90,4.80,4.70,0.00,3.20,979,4.30,2.30,35,44.90
32,Chad,Chad,Sub-Saharan Africa,146,34,49.80,28.90,13.60,13.10,44.60,92.70,96.30,28.20,54.50,74.20,52.00,60,40,14.00,60,45,13.30,15.60,16.40,26.50,-0.90,-0.70,1611,2.30,3.50,558,43.00
33,Chile,Chile,Americas,20,2,74.40,73.00,91.40,71.40,72.40,78.10,75.30,76.20,58.00,79.40,78.00,70,70,6.00,40,27,20.70,27.00,19.10,454.70,-5.80,0.40,23366,11.50,3.00,8386,32.50
