CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions $, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),"GDP per Capita (in $, PPP)",Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
99,Malawi,Malawi,Sub-Saharan Africa,134,26,53.00,48.10,53.00,29.40,78.70,87.40,11.00,34.00,56.40,71.10,67.40,50,50,8.80,30,30,18.30,20.50,19.10,20.70,0.60,2.90,993,6.00,8.60,98,67.30
100,Malaysia,Malaysia,Asia-Pacific,42,8,68.10,65.60,57.60,53.90,83.80,82.90,73.40,67.10,57.00,83.60,82.20,60,50,3.90,30,24,12.00,23.90,32.40,902.60,-5.60,2.70,27402,4.60,-1.10,3483,67.50
101,Maldives,Maldives,Asia-Pacific,161,36,47.30,47.20,32.10,43.10,96.90,55.20,0.00,39.80,51.60,77.20,60.00,35,30,12.50,0,0,17.50,38.60,0.50,7.40,-32.20,-0.70,19609,7.20,-1.60,348,142.60
102,Mali,Mali,Sub-Saharan Africa,114,18,55.90,34.00,34.10,28.30,69.80,83.90,70.80,44.20,54.20,82.80,64.00,65,40,10.50,40,35,14.10,23.20,20.30,47.20,-2.00,3.70,2401,7.50,0.60,308,44.20
103,Malta,Malta,Europe,27,19,71.50,87.80,89.90,55.80,69.00,54.60,86.20,75.50,61.80,78.50,79.20,70,50,2.90,35,35,25.50,38.90,0.50,22.10,-7.00,3.20,42856,4.10,0.80,3917,55.40
104,Mauritania,Mauritania,Sub-Saharan Africa,119,20,55.30,36.90,29.90,23.50,75.20,89.40,92.90,35.70,48.90,80.30,60.60,50,40,9.70,40,25,16.00,18.80,4.60,24.20,-2.20,2.10,5834,10.70,2.30,978,59.50
105,Mauritius,Mauritius,Sub-Saharan Africa,30,1,70.90,85.60,81.70,56.50,91.30,73.40,6.80,72.00,69.80,75.90,87.40,80,70,1.30,15,15,20.40,29.80,1.30,25.70,-15.80,-0.30,20292,7.10,2.50,246,87.80
106,Mexico,Mexico,Americas,67,14,63.70,47.70,40.70,32.00,76.00,78.30,78.00,69.20,58.40,73.00,76.60,75,60,4.20,35,30,16.50,26.90,128.90,2444.70,-8.20,-0.30,19130,4.70,3.40,29079,60.60
107,Micronesia,Micronesia,Asia-Pacific,82,16,61.00,54.30,82.20,56.80,80.70,0.00,99.50,52.40,81.50,84.30,74.80,35,30,5.10,10,21,37.30,61.50,0.10,0.40,-1.60,0.70,3446,16.20,0.50,NA,16.00
108,Moldova,Moldova,Europe,78,39,61.30,55.90,30.70,34.70,94.10,68.10,87.20,64.20,46.40,72.40,76.60,55,50,4.20,12,12,17.30,32.60,2.60,33.70,-7.50,1.80,12811,4.70,3.80,55,35.30
109,Mongolia,Mongolia,Asia-Pacific,66,12,63.90,48.80,57.10,37.00,89.20,68.20,81.90,66.50,67.50,76.00,74.40,50,50,5.30,10,25,18.70,32.60,3.30,39.70,-5.30,2.70,11825,4.30,3.70,1719,76.60
110,Montenegro,Montenegro,Europe,103,41,57.80,61.30,43.00,46.40,83.90,29.50,11.90,67.10,61.70,85.60,78.80,75,50,5.60,9,9,38.10,48.50,0.60,12.00,-15.20,0.30,19252,15.90,-0.20,529,108.80
111,Morocco,Morocco,Middle East and North Africa,97,6,59.20,57.80,32.70,41.00,68.20,69.80,46.00,64.80,46.40,80.00,68.60,65,70,10.70,38,31,27.80,31.80,36.90,274.00,-7.00,0.80,7620,10.20,0.60,1763,76.10
112,Mozambique,Mozambique,Sub-Saharan Africa,142,32,51.30,31.90,44.10,26.30,72.20,70.30,52.70,36.70,47.40,78.80,70.60,35,50,7.20,32,32,27.10,31.50,31.30,40.80,-0.50,2.60,1277,3.40,3.10,2337,122.20
113,Namibia,Namibia,Sub-Saharan Africa,95,11,59.20,63.80,67.60,53.90,72.30,56.50,22.40,55.40,63.40,79.00,71.20,65,40,6.90,37,32,19.40,38.10,2.50,23.80,-7.20,-1.80,9397,20.40,2.60,-75,65.70
114,Nepal,Nepal,Asia-Pacific,148,31,49.70,37.40,34.10,33.80,82.60,77.20,51.50,60.20,51.50,70.00,57.60,10,30,13.70,25,25,22.10,27.60,29.10,117.10,-1.90,4.40,4061,4.40,6.20,126,41.30
115,Netherlands,Netherlands,Europe,8,5,79.50,96.20,96.90,92.30,51.20,45.40,93.60,88.10,58.90,82.10,79.20,90,80,2.90,52,25,39.30,42.70,17.40,1001.50,-3.80,1.10,57534,4.10,1.10,-115300,54.00
116,New Zealand,NewZealand,Asia-Pacific,4,2,80.60,88.20,95.90,97.50,70.80,53.50,88.30,81.30,70.50,81.80,90.00,70,80,2.50,33,28,32.30,39.40,5.10,213.90,-3.00,2.10,42018,4.60,1.70,4216,41.30
117,Nicaragua,Nicaragua,Americas,122,23,54.80,30.10,19.50,19.00,75.30,76.20,87.30,53.80,46.90,72.00,67.80,60,50,6.10,30,30,25.90,28.20,6.60,36.20,-3.00,-0.30,5575,5.80,3.70,182,46.00
118,Niger,Niger,Sub-Saharan Africa,121,22,54.90,37.40,35.90,32.50,77.50,85.70,69.00,35.20,53.60,74.60,62.60,55,40,11.20,35,30,11.10,21.90,24.20,30.50,1.20,5.00,1259,0.70,2.80,367,44.20
119,Nigeria,Nigeria,Sub-Saharan Africa,124,23,54.40,22.10,33.80,22.70,84.80,95.30,58.10,41.20,73.60,67.50,68.60,45,40,8.20,24,30,6.30,12.50,206.10,1069.20,-1.80,0.30,5187,9.00,13.20,2385,35.10
120,Norway,Norway,Europe,14,10,76.90,99.60,97.30,96.00,56.40,19.50,96.60,91.40,68.80,76.90,85.40,75,60,2.30,48,22,39.90,51.80,5.40,354.60,-0.80,0.90,65800,4.60,1.30,-2394,41.40
121,Oman,Oman,Middle East and North Africa,108,8,56.60,74.90,27.10,53.30,97.70,32.80,6.90,58.10,45.70,84.70,73.40,65,60,5.80,0,15,2.60,47.30,5.10,134.20,-6.40,-0.20,30178,5.00,-0.90,4093,81.10
122,Pakistan,Pakistan,Asia-Pacific,153,34,48.80,29.00,28.50,27.40,78.00,85.10,4.80,49.50,51.60,65.90,65.80,60,40,9.60,35,29,11.40,22.30,220.90,1074.10,-0.40,3.40,5150,4.70,10.70,2105,87.20
123,Panama,Panama,Americas,56,11,65.40,58.80,50.70,38.00,85.50,81.90,40.70,67.10,61.50,78.10,77.20,75,70,6.40,25,25,14.10,24.60,4.30,115.50,-17.90,-0.20,27003,10.20,-1.60,589,63.50
124,Papua New Guinea,PapuaNewGuinea,Asia-Pacific,123,26,54.60,42.70,44.20,26.20,72.00,86.00,64.10,47.90,65.10,71.40,80.40,25,30,2.30,42,30,11.80,21.60,8.90,33.70,-3.90,2.10,3833,2.70,5.00,-935,49.20
125,Paraguay,Paraguay,Americas,73,17,62.90,45.50,37.90,29.50,96.10,84.00,68.80,65.40,39.40,75.60,77.00,75,60,6.50,10,10,13.90,23.10,7.10,93.40,-0.90,2.30,12881,7.60,1.80,568,34.80
126,Peru,Peru,Americas,51,8,66.50,49.70,49.70,39.70,79.50,84.20,73.10,65.30,59.60,81.40,81.40,75,60,1.80,30,30,16.60,23.00,33.00,397.60,-11.10,0.30,11871,6.20,1.80,982,35.40
127,Philippines,Philippines,Asia-Pacific,80,15,61.10,47.10,25.60,34.70,76.80,84.20,81.80,61.50,58.00,69.40,73.80,60,60,5.60,35,30,14.00,23.00,109.60,919.40,-9.50,3.40,8452,3.40,2.60,6542,47.10
128,Poland,Poland,Europe,39,25,68.70,72.30,54.70,60.60,73.60,41.90,78.30,78.70,55.70,79.10,79.20,80,70,2.90,32,19,35.40,44.00,38.00,1294.50,-2.70,3.00,34103,3.60,3.40,10080,57.70
129,Portugal,Portugal,Europe,31,21,70.80,89.90,92.10,67.80,60.40,39.50,72.80,76.20,55.50,86.80,79.20,70,60,2.90,48,21,34.80,44.90,10.30,350.20,-7.60,0.70,34043,7.20,-0.10,6324,131.60
130,Qatar,Qatar,Middle East and North Africa,44,3,67.70,68.60,38.80,60.00,97.80,69.30,89.70,58.60,51.90,76.00,81.40,60,60,4.30,0,0,14.70,32.00,2.90,262.00,-2.60,0.20,93508,3.50,-2.70,-2434,71.80
131,Romania,Romania,Europe,47,28,67.10,81.00,64.80,45.40,94.30,63.90,42.80,71.40,64.10,78.80,79.20,70,50,2.90,10,16,14.60,34.70,19.30,589.70,-3.90,3.30,30526,4.80,2.60,2322,50.10
132,Russia,Russia,Europe,113,43,56.10,36.80,34.70,29.70,93.10,62.60,99.30,62.50,57.30,68.00,69.00,30,30,5.50,13,20,11.00,35.30,144.10,4096.50,-3.10,0.80,27903,5.70,3.40,9676,19.30
133,Rwanda,Rwanda,Sub-Saharan Africa,105,16,57.10,61.10,26.60,54.70,79.10,76.30,61.60,50.70,42.60,74.40,58.20,60,40,13.40,30,30,17.10,28.10,13.00,29.60,-0.20,5.50,2337,1.40,8.00,135,61.00
134,Saint Lucia,SaintLucia,Americas,65,13,64.30,66.80,76.90,58.10,77.50,78.70,50.10,61.50,58.20,82.20,56.60,65,40,14.20,30,30,21.10,26.70,0.20,2.40,-18.90,-1.40,13359,17.10,-1.80,15,84.40
135,Saint Vincent and the Grenadines,SaintVincentGrenadines,Americas,54,9,65.70,64.00,76.90,62.00,75.50,66.90,68.50,61.40,58.80,84.20,59.80,70,40,12.60,30,30,25.40,33.20,0.10,1.40,-4.20,0.20,12606,20.30,-0.60,73,87.20
136,Samoa,Samoa,Asia-Pacific,40,7,68.30,78.40,78.40,53.70,78.60,68.50,95.60,61.50,71.60,81.40,66.40,55,30,9.30,27,27,26.20,32.40,0.20,1.10,-3.20,1.50,5653,8.90,1.50,-1,46.70
137,São Tomé and Príncipe,SaoTomePrincipe,Sub-Saharan Africa,85,7,60.30,44.10,62.20,48.70,88.20,83.10,85.90,49.00,41.60,65.90,65.00,60,30,10.00,20,25,12.50,23.70,0.20,0.80,-6.50,1.20,3829,13.90,9.80,47,81.40
138,Saudi Arabia,SaudiArabia,Middle East and North Africa,118,9,55.50,46.70,35.80,50.70,99.30,57.30,17.90,68.10,41.20,79.00,74.80,45,50,5.10,3,3,7.40,37.70,34.80,1627.30,-4.10,-0.10,46811,8.20,3.40,5486,32.40
139,Senegal,Senegal,Sub-Saharan Africa,88,8,60.00,58.00,49.80,47.80,72.30,82.10,56.70,57.90,53.90,76.10,65.80,60,40,9.60,40,30,16.50,24.40,16.70,58.30,0.80,5.00,3478,7.10,2.50,1481,65.80
140,Serbia,Serbia,Europe,59,35,65.20,58.80,50.40,37.90,90.90,42.50,85.70,74.40,62.90,81.60,77.00,70,50,6.50,10,15,24.10,43.80,6.90,132.80,-1.00,2.60,19146,9.10,1.70,3440,58.40
141,Seychelles,Seychelles,Sub-Saharan Africa,79,5,61.10,78.80,62.40,65.20,76.40,42.50,36.70,61.20,61.70,82.10,81.20,55,30,4.40,15,33,32.40,43.80,0.10,2.50,-13.40,-0.10,25414,n/a,1.20,122,98.40
142,Sierra Leone,SierraLeone,Sub-Saharan Africa,140,30,52.00,43.10,41.90,32.40,86.70,84.90,54.00,34.40,38.20,65.10,63.60,60,20,13.20,15,30,14.40,22.40,8.00,13.80,-2.20,3.40,1725,4.60,15.70,349,71.90
143,Singapore,Singapore,Asia-Pacific,1,1,84.40,94.40,58.30,92.80,90.50,90.10,79.60,83.10,77.00,86.50,95.00,85,80,0.00,22,17,13.20,18.20,5.70,560.20,-5.40,1.50,97057,5.20,-0.20,90562,128.40
144,Slovakia,Slovakia,Europe,36,23,69.70,83.20,71.90,53.70,77.30,41.80,76.00,75.90,56.50,75.50,79.20,75,70,2.90,25,21,34.70,44.10,5.50,178.50,-5.20,1.20,32710,6.80,2.00,-1930,60.70
145,Slovenia,Slovenia,Europe,32,22,70.50,89.70,91.60,66.70,57.20,36.40,77.40,79.70,63.30,85.10,79.20,70,50,2.90,50,19,37.70,46.00,2.10,81.30,-5.50,2.00,38807,5.20,-0.10,529,81.50
146,Solomon Islands,SolomonIslands,Asia-Pacific,110,22,56.50,50.60,59.50,42.30,70.50,60.10,98.00,44.40,60.20,79.00,68.60,15,30,8.20,40,30,21.20,36.50,0.70,1.60,-4.30,2.40,2455,0.80,3.40,9,13.90
147,South Africa,SouthAfrica,Sub-Saharan Africa,112,17,56.20,43.20,61.30,48.40,63.40,68.10,8.10,65.70,71.10,78.00,72.20,45,50,6.40,45,28,29.10,32.60,59.30,717.40,-7.00,-0.80,12032,28.70,3.30,3106,77.10
148,Spain,Spain,Europe,41,26,68.20,87.70,74.30,67.20,59.70,38.30,29.70,75.20,61.80,85.40,84.20,85,70,2.90,47,25,34.70,45.30,47.40,1808.70,-11.00,-0.10,38392,15.70,-0.30,8928,117.10
149,Sri Lanka,SriLanka,Asia-Pacific,132,28,53.30,51.70,57.70,40.10,90.30,87.40,0.00,58.30,55.70,71.60,47.00,40,40,19.00,18,24,8.10,20.50,21.90,289.90,-3.60,2.00,13215,4.80,4.60,434,100.10
150,Sudan,Sudan,Sub-Saharan Africa,174,47,32.00,22.20,13.20,14.60,84.90,92.90,0.00,25.00,44.80,13.70,48.00,5,20,16.00,15,35,7.80,15.40,43.80,181.70,-3.60,-0.90,4098,17.70,163.30,717,262.50
151,Suriname,Suriname,Americas,156,29,48.10,51.20,45.80,37.60,70.20,66.60,0.00,52.70,64.20,58.40,60.60,40,30,12.20,38,36,15.50,33.40,0.60,8.80,-13.50,-2.90,14513,8.70,34.90,-27,165.80
152,Sweden,Sweden,Europe,11,8,77.90,97.30,97.10,95.70,44.90,26.40,95.80,84.60,65.40,83.60,79.20,85,80,2.90,57,21,42.90,49.50,10.40,562.00,-2.80,1.00,54146,8.50,0.70,26109,38.50
153,Switzerland,Switzerland,Europe,2,1,84.20,95.20,98.00,92.30,70.10,67.20,96.30,84.30,60.00,84.90,86.60,85,90,1.70,40,24,28.50,33.10,8.60,627.20,-3.00,1.00,72874,4.90,-0.70,-47172,42.90
154,Taiwan ,Taiwan,Asia-Pacific,6,3,80.10,81.30,94.20,73.80,79.20,90.70,86.60,84.30,68.70,86.10,86.00,70,60,2.00,40,20,9.00,17.60,23.60,1316.00,3.10,2.90,55724,4.50,-0.20,8802,33.70
155,Tajikistan,Tajikistan,Asia-Pacific,147,30,49.70,29.50,9.10,17.80,95.30,72.40,80.00,56.90,43.10,67.10,69.60,25,30,7.70,13,15,9.00,30.30,9.50,34.80,4.50,6.70,3676,7.50,8.60,107,48.10
156,Tanzania,Tanzania,Sub-Saharan Africa,93,10,59.50,36.90,27.00,36.90,80.60,91.90,93.30,46.30,62.00,73.80,59.80,55,50,10.10,30,30,11.70,16.50,59.70,163.60,1.00,5.70,2821,2.20,3.00,1013,38.20
157,Thailand,Thailand,Asia-Pacific,70,13,63.20,44.20,36.20,38.50,81.30,84.40,89.80,63.40,59.60,74.20,71.60,55,60,6.70,35,20,15.80,22.80,69.80,1272.90,-6.10,1.60,18236,1.00,-0.80,-6100,49.60
158,Timor-Leste,TimorLeste,Asia-Pacific,164,37,46.30,30.80,35.30,38.20,97.60,0.00,19.70,57.90,56.20,79.50,75.00,45,20,2.50,10,10,6.30,76.70,1.30,4.50,-6.80,-1.40,3382,5.10,0.50,72,12.20
159,Togo,Togo,Sub-Saharan Africa,104,15,57.20,36.80,35.10,28.80,68.70,88.90,88.80,51.50,54.50,77.30,65.60,60,30,12.20,45,27,19.40,19.20,8.30,18.20,0.70,4.20,2199,4.10,1.80,639,57.60
160,Tonga,Tonga,Asia-Pacific,83,17,60.80,64.20,68.10,40.50,85.40,54.60,96.50,58.70,55.80,71.90,73.40,40,20,5.80,20,25,20.90,38.90,0.10,0.60,-0.50,2.10,6191,4.40,0.20,0,41.60
161,Trinidad and Tobago,TrinidadTobago,Americas,99,21,58.80,58.80,59.30,44.20,79.10,69.00,12.90,60.90,57.40,84.60,68.80,60,50,8.10,25,30,23.70,32.10,1.40,35.00,-7.80,-3.50,25031,6.70,0.60,-439,59.40
162,Tunisia,Tunisia,Middle East and North Africa,128,10,54.20,60.90,49.50,47.30,75.20,67.00,20.80,57.70,56.00,74.40,66.20,45,30,9.40,35,15,32.10,33.20,11.80,120.50,-8.80,-0.40,10120,16.70,5.70,652,87.60
163,Turkey,Turkey,Europe,107,42,56.90,42.00,25.60,39.40,74.70,63.80,59.20,63.40,47.10,61.90,75.60,70,60,4.70,40,20,23.10,34.70,84.30,2546.50,1.80,3.30,30253,13.90,12.30,7880,36.80
164,Turkmenistan,Turkmenistan,Asia-Pacific,165,38,46.20,19.00,8.30,7.40,92.60,94.50,98.00,37.50,30.70,72.70,74.20,10,10,2.90,10,20,15.60,13.50,6.00,98.20,0.80,5.20,16521,4.40,7.60,1169,31.00
165,Uganda,Uganda,Sub-Saharan Africa,127,24,54.20,48.30,29.20,24.00,73.60,89.80,53.50,46.50,54.70,78.20,57.80,55,40,13.60,40,30,11.80,18.50,45.70,106.10,-2.10,3.90,2574,2.40,3.80,823,45.70
166,Ukraine,Ukraine,Europe,130,44,54.10,39.70,31.40,33.80,89.10,44.50,73.60,61.10,60.70,71.20,78.60,35,30,3.20,20,18,19.20,43.00,44.10,543.80,-4.20,1.50,13110,9.50,2.70,-868,60.70
167,United Arab Emirates,UnitedArabEmirates,Middle East and North Africa,33,1,70.20,63.50,35.40,71.80,100.00,71.50,92.80,73.20,64.90,80.80,78.20,50,60,3.40,0,0,1.00,30.80,9.90,650.80,-5.90,0.50,58753,5.00,-2.10,19884,38.30
168,United Kingdom,UnitedKingdom,Europe,24,17,72.70,96.20,85.90,87.10,65.40,46.30,22.60,79.10,62.10,83.00,84.20,80,80,2.90,45,19,32.70,42.30,67.20,2959.90,-9.90,-0.80,44117,4.30,0.90,19724,103.70
169,United States,UnitedStates,Americas,25,3,72.10,95.70,77.90,75.70,75.90,54.50,0.00,87.50,75.80,82.30,75.20,85,80,2.40,37,21,24.50,38.90,329.50,20932.80,-3.50,1.10,63416,8.30,1.20,156321,127.10
170,Uruguay,Uruguay,Americas,34,5,70.00,84.00,80.40,75.20,72.40,70.20,75.20,75.70,60.30,70.90,70.40,75,30,9.80,36,25,29.00,31.50,3.50,79.30,-5.70,-0.30,22459,12.70,9.80,2630,66.30
171,Uzbekistan,Uzbekistan,Asia-Pacific,117,25,55.70,31.60,13.10,23.80,90.80,78.10,96.60,59.10,48.00,61.60,75.60,50,40,4.70,22,8,19.60,27.00,34.20,252.60,1.60,4.70,7449,6.00,12.90,1726,37.90
172,Vanuatu,Vanuatu,Asia-Pacific,72,14,62.90,57.80,71.20,42.40,96.80,60.10,96.10,49.10,40.00,74.40,61.60,65,40,9.20,0,0,17.80,36.50,0.30,0.80,-9.20,1.60,2586,2.00,2.90,30,44.20
173,Venezuela,Venezuela,Americas,176,32,24.80,0.20,4.60,7.10,74.10,78.30,0.00,30.80,37.60,0.00,54.80,0,10,12.60,34,34,16.70,26.90,28.40,144.70,-30.00,-23.50,5178,9.10,2355.10,959,304.10
174,Vietnam,Vietnam,Asia-Pacific,84,18,60.60,49.60,33.80,33.60,80.90,85.50,78.80,73.60,53.90,68.80,78.80,40,50,5.60,35,20,16.90,22.00,97.30,1058.70,2.90,6.10,10869,2.30,3.20,15800,46.60
175,Zambia,Zambia,Sub-Saharan Africa,154,36,48.70,38.30,45.20,30.80,70.90,73.30,0.00,44.20,41.90,66.40,68.20,55,50,8.40,38,35,16.70,29.80,18.40,63.10,-3.50,1.90,3342,12.20,16.40,234,117.80
176,Zimbabwe,Zimbabwe,Sub-Saharan Africa,173,46,33.10,20.80,16.30,20.60,66.10,87.20,79.80,36.90,34.90,0.00,0.00,25,10,67.70,52,24,12.60,20.70,14.90,39.80,-8.00,-1.30,2622,5.70,557.20,194,88.90
